—	O
	
Ce	I-PER
qu’	I-PER
y	I-PER
a	I-PER
d’	I-PER
ennuyeux	I-PER
,	I-PER
dans	I-PER
ces	I-PER
machines	I-PER
-là	I-PER
,	I-PER
c’	I-PER
est	I-PER
que	I-PER
ce	I-PER
sont	I-PER
toujours	I-PER
les	I-PER
mêmes	I-PER
femmes	I-PER
…	I-PER
	
Il	I-PER
faudrait	I-PER
du	I-PER
nouveau	I-PER
.	I-PER
	
Tâchez	I-PER
donc	I-PER
d’	I-PER
en	I-PER
inviter	I-PER
une…	I-PER
Tiens	I-PER
une	I-PER
idée	I-PER
!	I-PER
	
Je	I-PER
vais	I-PER
prier	I-PER
ce	I-PER
gros	I-PER
homme	I-PER
d’	I-PER
amener	I-PER
la	I-PER
femme	I-PER
qu’	I-PER
il	I-PER
promenait	I-PER
,	I-PER
l’	I-PER
autre	I-PER
soir	I-PER
,	I-PER
aux	B-LOC
Variétés	E-LOC
.	I-PER
	
—	I-PER
	
Le	B-PER
comte	I-PER
de	I-PER
Bismarck	E-PER
l’	I-PER
accompagnera	I-PER
,	I-PER
dit	I-PER
madame	I-PER
Du	I-PER
Joncquoy	I-PER
.	I-PER
	
Connaissez	I-PER
-vous	I-PER
le	I-PER
comte	I-PER
?	I-PER
	
J’	I-PER
ai	I-PER
déjeuné	I-PER
avec	I-PER
lui	I-PER
chez	I-PER
mon	I-PER
frère	I-PER
,	I-PER
oh	I-PER
!	I-PER
	
il	I-PER
y	I-PER
a	I-PER
longtemps	I-PER
,	I-PER
lorsqu’	I-PER
il	I-PER
représentait	I-PER
la	I-PER
Prusse	I-PER
à	I-PER
Paris	I-PER
…	I-PER
	
Voilà	I-PER
un	I-PER
homme	I-PER
dont	I-PER
je	I-PER
ne	I-PER
comprends	I-PER
guère	I-PER
les	I-PER
derniers	I-PER
succès	I-PER
.	I-PER
	
—	I-PER
	
On	I-PER
ne	I-PER
le	I-PER
pense	I-PER
pas	I-PER
,	I-PER
madame	I-PER
,	I-PER
répondit	I-PER
-il	I-PER
.	I-PER
	
Mais	I-PER
la	I-PER
comtesse	I-PER
intervint	I-PER
.	I-PER
	
—	I-PER
	
Pas	I-PER
possible	I-PER
!	I-PER
dit	I-PER
Vandeuvres	I-PER
,	I-PER
stupéfait	I-PER
et	I-PER
mis	I-PER
en	I-PER
gaieté	I-PER
.	I-PER
	
Fauchery	I-PER
riait	I-PER
en	I-PER
regardant	I-PER
le	I-PER
comte	I-PER
,	I-PER
dont	I-PER
le	I-PER
visage	I-PER
encadré	I-PER
de	I-PER
favoris	I-PER
,	I-PER
sans	I-PER
moustaches	I-PER
,	I-PER
semblait	I-PER
plus	I-PER
carré	I-PER
et	I-PER
plus	I-PER
dur	I-PER
,	I-PER
depuis	I-PER
qu’	I-PER
