token;c;m
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];1;1
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];1;4
annotations[y][i][0];1;1
annotations[y][i][0];1;1
annotations[y][i][0];1;1
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];1;1
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];2;0
annotations[y][i][0];4;0
annotations[y][i][0];4;0
annotations[y][i][0];4;0
annotations[y][i][0];4;0
annotations[y][i][0];0;0
annotations[y][i][0];0;0
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];1;1
annotations[y][i][0];1;1
annotations[y][i][0];1;1
annotations[y][i][0];1;1
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
annotations[y][i][0];4;4
