—	O
Ce	O
qu’	O
y	O
a	O
d’	O
ennuyeux	O
,	O
dans	O
ces	O
machines	O
-là	O
,	O
c’	O
est	O
que	O
ce	O
sont	O
toujours	O
les	O
mêmes	O
femmes	O
…	O
Il	O
faudrait	O
du	O
nouveau	O
.	O
Tâchez	U-LOC
donc	O
d’	O
en	O
inviter	O
une…	U-MISC
Tiens	O
une	O
idée	O
!	O
Je	O
vais	O
prier	O
ce	O
gros	O
homme	O
d’	O
amener	O
la	O
femme	O
qu’	O
il	O
promenait	O
,	O
l’	O
autre	O
soir	O
,	O
aux	O
Variétés	U-LOC
.	O
—	O
Le	B-PER
comte	I-PER
de	I-PER
Bismarck	L-PER
l’	O
accompagnera	O
,	O
dit	O
madame	B-PER
Du	I-PER
Joncquoy	L-PER
.	O
Connaissez	U-PER
-vous	O
le	O
comte	O
?	O
J’	O
ai	O
déjeuné	O
avec	O
lui	O
chez	O
mon	O
frère	O
,	O
oh	O
!	O
il	O
y	O
a	O
longtemps	O
,	O
lorsqu’	O
il	O
représentait	O
la	O
Prusse	U-LOC
à	O
Paris	U-LOC
…	O
Voilà	O
un	O
homme	O
dont	O
je	O
ne	O
comprends	O
guère	O
les	O
derniers	O
succès	O
.	O
—	O
On	O
ne	O
le	O
pense	O
pas	O
,	O
madame	O
,	O
répondit	O
-il	O
.	O
Mais	O
la	O
comtesse	O
intervint	O
.	O
—	B-PER
Pas	L-PER
possible	O
!	O
dit	O
Vandeuvres	U-LOC
,	O
stupéfait	O
et	O
mis	O
en	O
gaieté	O
.	O
Fauchery	U-PER
riait	O
en	O
regardant	O
le	O
comte	O
,	O
dont	O
le	O
visage	O
encadré	O
de	O
favoris	O
,	O
sans	O
moustaches	O
,	O
semblait	O
plus	O
carré	O
et	O
plus	O
dur	O
,	O
depuis	O
qu’	O
il	O
citait	O
des	O
chiffres	O
à	O
Steiner	U-PER
,	O
qui	O
se	O
débattait	O
.	O
—	B-PER
Attendez	L-PER
,	O
dit	O
Vandeuvres	U-LOC
,	O
il	O
nous	O
faut	O
un	O
non	O
définitif	O
du	O
comte	O
.	O
—	O
Parbleu	U-PER
!	O
elles	O
épousent	O
Dieu	U-MISC
,	O
lorsqu’	O
elles	O
n’	O
ont	O
pu	O
épouser	O
leur	O
cousin	O
,	O
dit	O
entre	O
ses	O
dents	O
Vandeuvres	U-MISC
,	O
que	O
cette	O
question	O
ennuyait	O
,	O
et	O
,	O
qui	O
venait	O
rejoindre	O
Fauchery	U-MISC
.	O
Mon	O
cher	O
,	O
avez	O
-vous	O
jamais	O
vu	O
une	O
femme	O
aimée	O
se	O
